date;infected;seroprevlence;Pfizer - vaccinated;Pfizer;Moderna - vaccinated;moderna;AstraZeneca - vaccinated;Azeneca;CureVac-vaccinated;CureVac;Janssen - vaccinated;Janssen;Moderna-top-up-vac;moderna-top-up;Novavax-vac;Novavax;Valneva-va;Valneva;Sanofi - vaccinated;Sanofi;total.vaccinated;total.pop;a60p;a70p;a80p;a90p
2020-12-27;750000;1700000;0;0;0;;0;;;;0;;;;;;;;0;;0;17461543;10476926;12223080;13969234;15715389
2020-12-28;750000;1700000;21816;43631;0;;0;;;;0;;;;;;;;0;;21816;17461543;10476926;12223080;13969234;15715389
2020-12-29;750000;1700000;43631;87263;0;;0;;;;0;;;;;;;;0;;43631;17461543;10476926;12223080;13969234;15715389
2020-12-30;750000;1700000;65447;130894;0;;0;;;;0;;;;;;;;0;;65447;17461543;10476926;12223080;13969234;15715389
2020-12-31;750000;1700000;82388;164775;0;;0;;;;0;;;;;;;;0;;82388;17461543;10476926;12223080;13969234;15715389
2021-01-01;750000;1700000;91417;182835;0;0;0;;;;0;;;;;;;;0;;91417;17461543;10476926;12223080;13969234;15715389
2021-01-02;750000;1700000;100447;200894;0;0;0;;;;0;;;;;;;;0;;100447;17461543;10476926;12223080;13969234;15715389
2021-01-03;750000;1700000;109477;218954;0;0;0;;;;0;;;;;;;;0;;109477;17461543;10476926;12223080;13969234;15715389
2021-01-04;750000;1700000;118507;237013;0;0;0;;;;0;;;;;;;;0;;118507;17461543;10476926;12223080;13969234;15715389
2021-01-05;750000;1700000;127536;255073;0;0;0;;;;0;;;;;;;;0;;127536;17461543;10476926;12223080;13969234;15715389
2021-01-06;750000;1700000;136566;273132;0;0;0;;;;0;;;;;;;;0;;136566;17461543;10476926;12223080;13969234;15715389
2021-01-07;750000;1700000;145596;291192;0;0;0;;;;0;;;;;;;;0;;145596;17461543;10476926;12223080;13969234;15715389
2021-01-08;750000;1700000;154626;309251;0;0;0;;;;0;;;;;;;;0;;154626;17461543;10476926;12223080;13969234;15715389
2021-01-09;750000;1700000;163655;327311;0;0;0;;;;0;;;;;;;;0;;163655;17461543;10476926;12223080;13969234;15715389
2021-01-10;750000;1700000;172685;345370;0;0;0;;;;0;;;;;;;;0;;172685;17461543;10476926;12223080;13969234;15715389
2021-01-11;750000;1700000;181715;363430;2500;5000;0;;;;0;;;;;;;;0;;184215;17461543;10476926;12223080;13969234;15715389
2021-01-12;750000;1700000;190745;381489;5000;10000;0;;;;0;;;;;;;;0;;195745;17461543;10476926;12223080;13969234;15715389
2021-01-13;750000;1700000;199774;399549;7500;15000;0;;;;0;;;;;;;;0;;207274;17461543;10476926;12223080;13969234;15715389
2021-01-14;750000;1700000;208804;417608;10000;20000;0;;;;0;;;;;;;;0;;218804;17461543;10476926;12223080;13969234;15715389
2021-01-15;750000;1700000;217834;435668;12500;25000;0;;;;0;;;;;;;;0;;230334;17461543;10476926;12223080;13969234;15715389
2021-01-16;750000;1700000;226864;453727;15000;30000;0;;;;0;;;;;;;;0;;241864;17461543;10476926;12223080;13969234;15715389
2021-01-17;750000;1700000;235893;471787;17500;35000;0;;;;0;;;;;;;;0;;253393;17461543;10476926;12223080;13969234;15715389
2021-01-18;750000;1700000;244923;489846;20000;40000;0;;;;0;;;;;;;;0;;264923;17461543;10476926;12223080;13969234;15715389
2021-01-19;750000;1700000;253953;507906;22500;45000;0;;;;0;;;;;;;;0;;276453;17461543;10476926;12223080;13969234;15715389
2021-01-20;750000;1700000;262983;525965;25000;50000;0;;;;0;;;;;;;;0;;287983;17461543;10476926;12223080;13969234;15715389
2021-01-21;750000;1700000;272012;544025;27500;55000;0;;;;0;;;;;;;;0;;299512;17461543;10476926;12223080;13969234;15715389
2021-01-22;750000;1700000;281042;562084;30000;60000;0;;;;0;;;;;;;;0;;311042;17461543;10476926;12223080;13969234;15715389
2021-01-23;750000;1700000;290072;580144;32500;65000;0;;;;0;;;;;;;;0;;322572;17461543;10476926;12223080;13969234;15715389
2021-01-24;750000;1700000;299102;598203;35000;70000;0;;;;0;;;;;;;;0;;334102;17461543;10476926;12223080;13969234;15715389
2021-01-25;750000;1700000;308131;616263;37500;75000;0;;;;0;;;;;;;;0;;345631;17461543;10476926;12223080;13969234;15715389
2021-01-26;750000;1700000;317161;634322;40000;80000;0;;;;0;;;;;;;;0;;357161;17461543;10476926;12223080;13969234;15715389
2021-01-27;750000;1700000;326191;652382;42500;85000;0;;;;0;;;;;;;;0;;368691;17461543;10476926;12223080;13969234;15715389
2021-01-28;750000;1700000;335221;670441;45000;90000;0;;;;0;;;;;;;;0;;380221;17461543;10476926;12223080;13969234;15715389
2021-01-29;750000;1700000;344250;688501;47500;95000;0;;;;0;;;;;;;;0;;391750;17461543;10476926;12223080;13969234;15715389
2021-01-30;750000;1700000;353280;706560;50000;100000;0;;;;0;;;;;;;;0;;403280;17461543;10476926;12223080;13969234;15715389
2021-01-31;750000;1700000;362310;724620;52500;105000;0;;;;0;;;;;;;;0;;414810;17461543;10476926;12223080;13969234;15715389
2021-02-01;750000;1700000;374950;749900;55000;110000;0;;;;0;;;;;;;;0;;429950;17461543;10476926;12223080;13969234;15715389
2021-02-02;750000;1700000;387590;775181;57500;115000;0;;;;0;;;;;;;;0;;445090;17461543;10476926;12223080;13969234;15715389
2021-02-03;750000;1700000;400231;800461;60000;120000;0;;;;0;;;;;;;;0;;460231;17461543;10476926;12223080;13969234;15715389
2021-02-04;750000;1700000;412871;825741;62500;125000;0;;;;0;;;;;;;;0;;475371;17461543;10476926;12223080;13969234;15715389
2021-02-05;750000;1700000;425511;851022;65000;130000;0;;;;0;;;;;;;;0;;490511;17461543;10476926;12223080;13969234;15715389
2021-02-06;750000;1700000;438151;876302;67500;135000;0;;;;0;;;;;;;;0;;505651;17461543;10476926;12223080;13969234;15715389
2021-02-07;750000;1700000;450791;901583;70000;140000;0;;;;0;;;;;;;;0;;520791;17461543;10476926;12223080;13969234;15715389
