"date_of_update","date","week","total_registerd","total_estimated","people_vaccinated","people_fully_vaccinated","ggd_total","hosp_total","care_total","ha_total","registerd_new","estimated_new","people_fully_vaccinated_new","ggd_new","hosp_new","care_new","ha_new"
2021-01-07,2021-01-06,1,3835,3836,6000,0,0,6000,0,0,0,3835,0,0,3835,0,0
2021-01-08,2021-01-07,1,15128,10223,15000,0,0,10223,0,0,9128,6387,9000,0,6387,0,0
2021-01-09,2021-01-08,1,27022,17998,27000,0,0,17998,0,0,11894,7775,12000,0,7775,0,0
2021-01-10,2021-01-09,1,32018,25763,30000,0,0,25763,0,0,4996,7765,3000,0,7765,0,0
2021-01-11,2021-01-10,1,33934,33757,31000,0,0,33757,0,0,1916,7994,1000,0,7994,0,0
2021-01-12,2021-01-11,2,42726,43349,35500,0,0,43349,0,0,8792,9592,4500,0,9592,0,0
2021-01-13,2021-01-12,2,45087,50395,45000,0,0,50395,0,0,2361,7046,9500,0,7046,0,0
2021-01-14,2021-01-13,2,47006,56054,47000,0,0,56054,0,0,1919,5659,2000,0,5659,0,0
2021-01-15,2021-01-14,2,49487,61709,47000,0,0,61709,0,0,2481,5655,0,0,5655,0,0
2021-01-16,2021-01-15,2,58332,67135,55000,0,0,67135,0,0,8845,5426,8000,0,5426,0,0
2021-01-17,2021-01-16,2,67447,72098,55000,0,0,72098,0,0,9115,4963,0,0,4963,0,0
2021-01-18,2021-01-17,2,77807,77062,77000,0,0,77062,0,0,10360,4964,22000,0,4964,0,0
2021-01-19,2021-01-18,3,88926,90501,77000,0,0,90501,0,0,11119,13439,0,0,13439,0,0
2021-01-20,2021-01-19,3,98832,103941,77000,0,0,103941,0,0,9906,13440,0,0,13440,0,0
2021-01-21,2021-01-20,3,116271,117379,100000,0,0,117379,0,0,17439,13438,23000,0,13438,0,0
2021-01-22,2021-01-21,3,131249,130814,100000,0,0,130814,0,0,14978,13435,0,0,13435,0,0
2021-01-23,2021-01-22,3,141243,145100,135000,0,0,145100,0,0,9994,14286,35000,0,14286,0,0
2021-01-24,2021-01-23,3,152495,155923,135000,0,0,155923,0,0,11252,10823,0,0,10823,0,0
2021-01-25,2021-01-24,3,147316,166744,150000,0,0,166744,0,0,-5179,10821,15000,0,10821,0,0
2021-01-26,2021-01-25,4,156809,182784,173638,0,0,182784,0,0,9493,16040,23638,0,16040,0,0
2021-01-27,2021-01-26,4,168527,202298,185356,0,0,202298,0,0,11718,19514,11718,0,19514,0,0
2021-01-28,2021-01-27,4,186621,228684,197250,6200,0,228684,0,0,18094,26386,11894,0,26386,0,0
2021-01-29,2021-01-28,4,198669,259011,209298,6200,0,259011,0,0,12048,30327,12048,0,30327,0,0
2021-01-30,2021-01-29,4,209469,293476,340590,6200,0,293476,0,0,10800,34465,131292,0,34465,0,0
2021-01-31,2021-01-30,4,233502,324442,330381,13500,0,324442,0,0,24033,30966,-10209,0,30966,0,0
2021-02-01,2021-01-31,4,248055,352607,317381,26500,0,352607,0,0,14553,28165,-13000,0,28165,0,0
2021-02-02,2021-02-01,5,277275,387079,341908,34000,0,387079,0,0,29220,34472,24527,0,34472,0,0
2021-02-03,2021-02-02,5,303702,421714,378093,38000,0,421714,0,0,26427,34635,36185,0,34635,0,0
2021-02-04,2021-02-03,5,330494,454534,416998,38000,0,454534,0,0,26792,32820,38905,0,32820,0,0
2021-02-05,2021-02-04,5,356517,489139,456035,39500,0,489139,0,0,26023,34605,39037,0,34605,0,0
2021-02-06,2021-02-05,5,382975,522426,493217,39500,0,522426,0,0,26458,33287,37182,0,33287,0,0
2021-02-07,2021-02-06,5,414198,550165,513863,55000,0,550165,0,0,31223,27739,20646,0,27739,0,0
2021-02-08,2021-02-07,6,414858,573825,504952,66409,0,573825,0,0,660,23660,-8911,0,23660,0,0
2021-02-09,2021-02-08,6,434417,606977,529525,66409,0,606977,0,0,19559,33152,24573,0,33152,0,0
2021-02-10,2021-02-09,6,460252,639281,559737,66409,0,639281,0,0,25835,32304,30212,0,32304,0,0
2021-02-11,2021-02-10,6,489558,671270,593875,66409,0,671270,0,0,29306,31989,34138,0,31989,0,0
